,bodyId_pre,bodyId_post,roi,weight
995623,632570417,759291719,ME(R),1
1211765,699031185,695124651,ME(R),3
1212040,699031185,1563929167,ME(R),2
1475273,791527493,1476868405,ME(R),1
1475976,791527493,1911888093,ME(R),1
1476194,791527493,5812990478,ME(R),1
1947987,974843875,1252409535,ME(R),1
1948006,974843875,5812981763,ME(R),1
2335117,1158631810,974843875,ME(R),2
2335147,1158631810,1158994954,ME(R),1
2335167,1158631810,1252409535,ME(R),1
2335196,1158631810,1345164753,ME(R),1
2335299,1158631810,5813069193,ME(R),1
2337374,1159262075,974843875,ME(R),1
2337408,1159262075,1158994954,ME(R),1
2337413,1159262075,1190344036,ME(R),1
2530335,1252409535,1819805664,ME(R),1
2530341,1252409535,5813001741,ME(R),2
2530353,1252409535,5813040744,ME(R),1
2579575,1283406432,511051477,ME(R),2
2579578,1283406432,543702186,ME(R),1
2579593,1283406432,1252409535,ME(R),1
2579595,1283406432,1345164753,ME(R),1
2579602,1283406432,1884625521,ME(R),1
2579606,1283406432,2097462638,ME(R),1
2579608,1283406432,5812981763,ME(R),1
2579619,1283406432,5813022753,ME(R),1
2579622,1283406432,5813026773,ME(R),1
2579629,1283406432,5813069648,ME(R),1
2589096,1288301181,1129033939,ME(R),1
2589099,1288301181,1911888093,ME(R),4
2589100,1288301181,1936788746,ME(R),1
2589101,1288301181,5812979970,ME(R),4
2589104,1288301181,5813078107,ME(R),1
2678302,1345164753,1594117455,ME(R),2
2733608,1378182447,5812983501,ME(R),1
2864160,1472676490,1569139619,ME(R),1
2864162,1472676490,1622377349,ME(R),1
2872110,1476868405,1569139619,ME(R),1
2872144,1476868405,2003986785,ME(R),2
2950923,1535902995,543702186,ME(R),1
2950945,1535902995,974843875,ME(R),1
2950998,1535902995,1345164753,ME(R),1
2951065,1535902995,5813027028,ME(R),1
2973003,1561646261,1788546780,ME(R),1
2980156,1563929167,695124651,ME(R),2
2991258,1569139619,1599493366,ME(R),7
2991259,1569139619,1911219563,ME(R),3
2991260,1569139619,1962828235,ME(R),1
2991261,1569139619,2003986785,ME(R),1
2991262,1569139619,5812990478,ME(R),1
3003250,1589982128,1599493366,ME(R),2
3003256,1589982128,1911219563,ME(R),2
3007028,1594087100,1599493366,ME(R),2
3007029,1594087100,1911219563,ME(R),1
3007217,1594117455,543702186,ME(R),1
3007229,1594117455,1819805664,ME(R),1
3007231,1594117455,1884625521,ME(R),1
3007234,1594117455,5812981763,ME(R),3
3007245,1594117455,5813026773,ME(R),2
3007252,1594117455,5813069648,ME(R),1
3016075,1599493366,1569139619,ME(R),3
3025723,1604440343,1911888093,ME(R),1
3025909,1604440343,5813070050,ME(R),1
3032478,1622036197,1599493366,ME(R),4
3032483,1622036197,1911219563,ME(R),1
3129105,1714113716,1569139619,ME(R),1
3130367,1715006401,5812979970,ME(R),3
3169541,1749628974,1283406432,ME(R),2
3169547,1749628974,1345164753,ME(R),2
3169560,1749628974,1819805664,ME(R),1
3169584,1749628974,5813020750,ME(R),3
3169592,1749628974,5813021217,ME(R),1
3169618,1749628974,5813040744,ME(R),1
3174865,1752090091,730709173,ME(R),1
3174870,1752090091,1129033939,ME(R),2
3174889,1752090091,1911888093,ME(R),2
3174890,1752090091,1936788746,ME(R),1
3311927,1911219563,1569139619,ME(R),1
3328073,1943950268,5813001741,ME(R),2
3328080,1943950268,5813011683,ME(R),1
3346977,2003986785,1569139619,ME(R),1
3346978,2003986785,1599493366,ME(R),1
3382337,2132210365,1569139619,ME(R),1
3382338,2132210365,1911219563,ME(R),1
3389861,2190537640,1288301181,ME(R),1
3411330,5812979970,2190537640,ME(R),1
3477877,5812981763,5813022753,ME(R),1
3550655,5812983943,974843875,ME(R),1
3550665,5812983943,1096859621,ME(R),1
3571474,5812990478,1589982128,ME(R),1
3571476,5812990478,1599493366,ME(R),3
3571479,5812990478,1911219563,ME(R),1
3636817,5813011683,1096859621,ME(R),1
3636830,5813011683,1943950268,ME(R),3
3636837,5813011683,5813001741,ME(R),2
3705595,5813021217,1563929167,ME(R),1
3705609,5813021217,5813026773,ME(R),4
3705615,5813021217,5813069648,ME(R),1
3742326,5813021948,1884625521,ME(R),1
3742342,5813021948,5813020750,ME(R),1
3742350,5813021948,5813026773,ME(R),2
3752286,5813022274,5812995141,ME(R),2
3762434,5813022753,5813026773,ME(R),2
3777875,5813024792,695124651,ME(R),1
3848279,5813040744,1096859621,ME(R),3
3848360,5813040744,1749628974,ME(R),1
3848365,5813040744,1884625521,ME(R),5
3848375,5813040744,2065745704,ME(R),1
3848431,5813040744,5813023097,ME(R),1
3848436,5813040744,5813026773,ME(R),2
4000609,5813058431,695124651,ME(R),2
4000844,5813058431,5813075715,ME(R),1
4081489,5813069255,695124651,ME(R),2
4081510,5813069255,1345164753,ME(R),1
4081522,5813069255,1563929167,ME(R),1
4081586,5813069255,5813063150,ME(R),1
