,motifCount
0,65
1,74
2,82
3,100
4,95
5,78
6,76
7,97
8,89
9,58
10,82
11,88
12,69
13,115
14,98
15,75
16,60
17,81
18,59
19,63
20,86
21,75
22,77
23,99
24,118
25,80
26,91
27,73
28,105
29,65
30,69
31,53
32,87
33,107
34,69
35,74
36,51
37,108
38,64
39,81
40,61
41,87
42,84
43,80
44,80
45,60
46,70
47,101
48,64
49,86
50,84
51,67
52,83
53,67
54,68
55,99
56,81
57,95
58,71
59,69
60,79
61,95
62,98
63,65
64,52
65,84
66,76
67,99
68,114
69,88
70,83
71,100
72,80
73,71
74,108
75,104
76,76
77,97
78,96
79,87
80,72
81,82
82,62
83,94
84,91
85,66
86,82
87,58
88,90
89,89
90,83
91,78
92,103
93,84
94,71
95,72
96,86
97,73
98,69
99,72
